circuit_id,qubit_count,gate_count,circuit_depth,t1_coherence_us,t2_coherence_us,gate_fidelity,readout_fidelity,cx_error_rate,single_qubit_error_rate,temperature_mk,crosstalk_coefficient,shot_count,idle_time_us,compiler_optimization_level,error_type
QC_0062,12,164,91,63.85,6.61,0.943,0.9472,0.0116,0.0029,12.39,0.1865,8192,24.45,0,phase_flip
QC_0063,4,65,21,149.82,127.07,0.983,0.9639,0.0019,0.0009,8.11,0.0142,512,45.18,2,no_error
QC_0064,11,96,50,31.53,11.48,0.913,0.9114,0.0172,0.0022,21.09,0.0883,4096,34.19,1,depolarizing
QC_0065,16,168,68,16.49,12.0,0.9629,0.9126,0.0122,0.003,10.74,0.0767,2048,49.38,3,amplitude_damping
QC_0066,16,82,53,99.96,22.07,0.9275,0.9267,0.0085,0.001,12.89,0.0826,4096,41.52,2,phase_flip
QC_0067,20,180,193,58.68,53.88,0.9396,0.925,0.0461,0.0064,17.3,0.1302,1024,11.03,2,depolarizing
QC_0068,5,165,44,5.99,5.36,0.9023,0.9055,0.0083,0.0046,13.27,0.0449,8192,10.12,2,amplitude_damping
QC_0069,18,74,45,97.99,91.33,0.9844,0.9922,0.0023,0.0004,5.81,0.0193,1024,7.12,3,no_error
QC_0070,13,28,104,80.97,71.25,0.9836,0.9868,0.002,0.0006,10.76,0.0189,1024,5.51,3,no_error
QC_0071,19,88,159,21.07,6.02,0.9459,0.9318,0.0221,0.0039,16.4,0.1446,4096,15.29,0,depolarizing
QC_0072,9,142,20,29.43,14.06,0.956,0.9127,0.0316,0.0051,22.27,0.1385,4096,32.78,3,depolarizing
QC_0073,3,181,14,53.04,13.89,0.9365,0.9254,0.0197,0.0012,14.31,0.1574,2048,3.12,1,phase_flip
QC_0074,16,28,57,42.09,27.15,0.8817,0.9208,0.0197,0.0019,20.65,0.0569,1024,38.28,1,depolarizing
QC_0075,12,42,103,27.51,3.07,0.9601,0.8901,0.0082,0.0016,11.74,0.0597,512,1.39,2,amplitude_damping
QC_0076,20,87,7,9.36,3.33,0.9519,0.9168,0.0236,0.0026,17.78,0.0508,8192,5.54,1,amplitude_damping
QC_0077,3,191,28,143.61,115.09,0.979,0.9857,0.0002,0.001,10.93,0.0091,4096,5.49,0,no_error
QC_0078,12,160,21,13.28,7.28,0.9306,0.8994,0.023,0.008,20.31,0.0954,512,30.31,0,depolarizing
QC_0079,8,115,60,142.17,94.0,0.9947,0.9759,0.0022,0.0003,7.19,0.0058,4096,47.68,0,no_error
QC_0080,4,28,30,14.83,12.26,0.9449,0.9001,0.0335,0.0049,18.3,0.0622,4096,17.74,0,depolarizing
QC_0081,11,95,16,74.68,9.25,0.966,0.9157,0.0039,0.0026,10.57,0.1715,4096,28.75,0,phase_flip
QC_0082,10,12,26,99.13,89.83,0.9976,0.974,0.0006,0.0002,9.6,0.0023,512,37.07,0,no_error
QC_0083,8,101,56,111.76,68.15,0.9793,0.9729,0.0028,0.0006,11.18,0.004,512,37.75,0,no_error
QC_0084,16,174,111,69.14,13.84,0.9391,0.9528,0.004,0.0014,9.98,0.1614,2048,24.38,0,phase_flip
QC_0085,14,158,17,5.19,3.66,0.9148,0.8896,0.0114,0.002,10.08,0.0648,4096,8.87,1,amplitude_damping
QC_0086,19,176,93,85.05,81.59,0.9713,0.9607,0.0028,0.0009,9.03,0.0119,4096,35.5,2,no_error
QC_0087,14,10,86,18.59,17.88,0.9168,0.9121,0.0245,0.0041,16.06,0.0936,512,20.08,3,depolarizing
QC_0088,12,61,45,86.75,6.53,0.9643,0.9371,0.0055,0.0024,10.46,0.195,1024,32.31,1,phase_flip
QC_0089,6,70,15,18.67,7.09,0.9407,0.8568,0.0481,0.0054,19.64,0.1064,8192,29.02,2,depolarizing
QC_0090,6,117,7,68.14,17.63,0.9757,0.9414,0.0083,0.0004,11.23,0.0845,2048,18.5,0,phase_flip
QC_0091,18,103,121,39.02,37.46,0.9391,0.8537,0.0464,0.005,16.88,0.1105,512,25.12,3,depolarizing
QC_0092,12,187,13,35.23,10.22,0.8998,0.8894,0.0276,0.0047,16.59,0.0873,4096,14.22,2,depolarizing
QC_0093,3,166,23,103.43,74.32,0.9867,0.9754,0.0008,0.0009,11.75,0.0125,512,7.6,1,no_error
QC_0094,11,172,92,79.73,7.58,0.9696,0.9059,0.0121,0.002,10.3,0.0953,8192,35.17,0,phase_flip
QC_0095,18,97,7,51.76,25.73,0.8671,0.8948,0.0443,0.005,19.65,0.0139,512,42.24,0,bit_flip
QC_0096,6,157,27,49.26,8.62,0.9685,0.9437,0.0182,0.0022,8.31,0.1237,4096,36.01,2,phase_flip
QC_0097,9,141,33,48.57,43.1,0.8875,0.8835,0.0384,0.0115,29.81,0.0331,4096,14.16,3,bit_flip
QC_0098,8,159,20,26.83,4.24,0.9336,0.906,0.0284,0.0037,15.16,0.0275,1024,4.29,2,amplitude_damping
QC_0099,18,42,114,35.5,34.11,0.9153,0.8885,0.0665,0.0067,22.76,0.0287,512,19.37,2,bit_flip
QC_0100,2,86,6,25.98,17.94,0.9554,0.8896,0.0122,0.0042,16.96,0.0283,4096,35.31,0,amplitude_damping
QC_0101,2,70,9,51.75,30.66,0.9382,0.8975,0.0144,0.003,18.01,0.0548,8192,21.05,3,depolarizing
QC_0102,5,132,41,36.8,25.1,0.926,0.9147,0.0217,0.001,18.53,0.1071,512,9.45,2,depolarizing
QC_0103,18,144,132,49.32,27.5,0.8816,0.9286,0.0117,0.0037,18.73,0.1247,512,17.92,2,depolarizing
QC_0104,5,153,50,23.92,5.79,0.9247,0.9037,0.0211,0.0042,16.85,0.0788,1024,23.98,1,amplitude_damping
QC_0105,16,14,78,20.08,16.93,0.9509,0.8784,0.0224,0.0038,23.15,0.0973,1024,1.93,2,depolarizing
QC_0106,3,172,13,56.39,20.99,0.9506,0.928,0.0099,0.0029,10.37,0.1024,2048,34.63,2,phase_flip
QC_0107,15,25,113,40.12,33.88,0.9236,0.8789,0.0132,0.0056,18.06,0.1103,4096,21.36,2,depolarizing
QC_0108,3,191,30,84.7,59.78,0.8848,0.8639,0.0596,0.0035,26.05,0.0303,1024,25.7,0,bit_flip
QC_0109,16,13,35,6.68,5.86,0.9256,0.9068,0.0192,0.0032,16.79,0.0769,512,18.66,1,amplitude_damping
QC_0110,13,106,83,125.47,76.34,0.9734,0.9894,0.0015,0.0004,8.93,0.006,4096,13.09,1,no_error
QC_0111,11,182,65,94.01,64.62,0.9722,0.9669,0.0022,0.001,10.67,0.0194,2048,49.33,0,no_error
QC_0112,19,79,79,139.6,116.66,0.9977,0.9854,0.0024,0.0005,5.85,0.0048,4096,7.03,0,no_error
QC_0113,19,151,97,68.04,24.66,0.9291,0.9619,0.0032,0.0013,13.02,0.1374,4096,20.6,0,phase_flip
QC_0114,12,169,12,16.25,12.01,0.9241,0.9415,0.0245,0.0034,11.82,0.078,512,21.69,0,amplitude_damping
QC_0115,6,82,13,91.34,89.29,0.9767,0.9978,0.0016,0.0003,5.55,0.0047,2048,47.82,1,no_error
QC_0116,19,28,131,78.46,16.84,0.9606,0.912,0.0132,0.0027,10.36,0.1909,512,2.16,0,phase_flip
QC_0117,20,72,169,20.54,13.89,0.9294,0.8527,0.0456,0.0048,21.42,0.0802,4096,12.32,2,depolarizing
QC_0118,4,181,6,39.48,28.1,0.8872,0.834,0.0272,0.0108,21.83,0.0594,4096,17.33,1,bit_flip
QC_0119,18,148,30,59.15,14.33,0.9387,0.9174,0.0037,0.001,10.69,0.1538,1024,12.49,2,phase_flip
QC_0120,12,53,100,91.15,91.02,0.984,0.9951,0.0015,0.0001,7.75,0.0097,8192,12.11,2,no_error
QC_0121,3,77,18,39.88,34.4,0.9338,0.8757,0.0103,0.0018,16.34,0.0764,4096,18.35,2,depolarizing
QC_0122,14,18,52,28.13,11.68,0.9109,0.8905,0.032,0.0068,21.23,0.1111,512,6.52,3,depolarizing
QC_0123,12,147,49,85.3,8.98,0.9556,0.935,0.0028,0.0006,10.33,0.1368,8192,22.9,1,phase_flip
QC_0124,12,46,53,99.44,19.79,0.9409,0.9235,0.0169,0.0017,12.96,0.116,2048,40.81,2,phase_flip
QC_0125,15,154,81,49.84,37.52,0.935,0.8524,0.029,0.0078,22.83,0.1276,512,28.92,3,depolarizing
QC_0126,18,166,161,24.37,11.12,0.9575,0.897,0.0193,0.0037,11.91,0.0465,4096,21.0,1,amplitude_damping
QC_0127,18,161,123,82.37,65.89,0.855,0.8138,0.0304,0.0059,25.95,0.0363,1024,15.76,3,bit_flip
QC_0128,12,144,48,127.31,118.4,0.9904,0.9921,0.0009,0.0005,11.7,0.0063,2048,15.0,2,no_error
QC_0129,17,86,125,13.72,13.01,0.9557,0.8991,0.008,0.0035,13.8,0.0788,1024,40.94,2,amplitude_damping
QC_0130,11,187,13,27.32,14.87,0.9005,0.8931,0.0181,0.0048,24.33,0.1196,8192,6.95,1,depolarizing
QC_0131,3,176,19,10.64,4.78,0.907,0.9031,0.0168,0.0036,11.37,0.0779,1024,48.9,3,amplitude_damping
QC_0132,17,171,54,75.35,35.9,0.8728,0.8059,0.0584,0.0089,20.79,0.0469,512,42.53,1,bit_flip
QC_0133,7,14,53,77.28,30.67,0.9099,0.8872,0.0345,0.0033,21.58,0.0401,2048,46.43,2,bit_flip
QC_0134,19,139,129,83.36,28.5,0.8903,0.8273,0.0604,0.006,26.77,0.0424,512,35.96,2,bit_flip
QC_0135,20,177,196,51.59,17.22,0.9647,0.9284,0.0097,0.0011,10.81,0.0914,4096,49.09,2,phase_flip
QC_0136,2,71,15,10.89,8.95,0.9668,0.9011,0.0231,0.0006,16.54,0.0616,512,3.2,3,amplitude_damping
QC_0137,7,108,67,95.39,22.76,0.9739,0.9483,0.0135,0.0028,10.57,0.1065,4096,47.87,1,phase_flip
QC_0138,13,111,123,75.44,64.46,0.916,0.8762,0.054,0.0084,27.45,0.0363,2048,26.46,0,bit_flip
QC_0139,5,20,38,143.2,76.82,0.986,0.9666,0.0026,0.0005,9.76,0.0146,8192,24.49,3,no_error
QC_0140,16,38,134,30.77,19.53,0.9247,0.9105,0.0223,0.0012,17.54,0.0503,512,10.97,0,depolarizing
QC_0141,13,184,19,62.47,22.56,0.9215,0.8986,0.0436,0.0056,20.16,0.0168,4096,32.11,2,bit_flip
QC_0142,16,101,99,34.81,34.28,0.92,0.8133,0.063,0.0041,29.91,0.0297,1024,6.45,0,bit_flip
QC_0143,11,123,89,45.95,22.37,0.9103,0.8707,0.0284,0.0021,16.88,0.1375,512,38.3,3,depolarizing
QC_0144,2,66,9,84.71,74.68,0.9833,0.9868,0.0026,0.0003,5.31,0.0093,512,27.03,1,no_error
QC_0145,11,64,107,144.15,108.48,0.9873,0.9908,0.0025,0.0003,11.13,0.0197,4096,26.11,2,no_error
QC_0146,3,147,21,92.78,23.23,0.9638,0.9299,0.0109,0.0029,14.59,0.1606,2048,39.31,3,phase_flip
QC_0147,6,81,27,41.03,31.31,0.8693,0.8225,0.0629,0.0043,23.56,0.0129,4096,20.69,1,bit_flip
QC_0148,9,70,29,49.82,22.36,0.886,0.8371,0.0468,0.0105,18.62,0.0289,512,30.29,0,bit_flip
QC_0149,20,190,174,18.97,10.66,0.9609,0.9033,0.0289,0.0006,19.37,0.0777,4096,5.95,1,amplitude_damping
QC_0150,8,106,33,118.65,105.48,0.9814,0.9813,0.0011,0.0003,8.59,0.0104,4096,5.02,2,no_error
